"edge_id","source","target","length","car","car reverse","bike","bike reverse","foot","WKT"
0,2089360067,2314270477,15.5235900879,1,1,2,2,1,LINESTRING(139.9365401 37.5091599,139.9365251 37.509299)
1,2314270477,2089360084,60.8433799744,1,1,2,2,1,LINESTRING(139.9365251 37.509299,139.9364665 37.5098442)
2,2089360084,2312605736,11.5040273666,1,1,2,2,1,LINESTRING(139.9364665 37.5098442,139.9363484 37.5098881)
3,2312605736,2089360086,36.5590629578,1,1,2,2,1,LINESTRING(139.9363484 37.5098881,139.9362252 37.509934,139.9359672 37.5100169)
4,2089360086,2312605732,33.3676986694,1,1,2,2,1,LINESTRING(139.9359672 37.5100169,139.9358421 37.5097337)
5,2312605732,2089360066,69.5749435425,1,1,2,2,1,LINESTRING(139.9358421 37.5097337,139.9355583 37.5091499)
6,305897738,2359783780,217.409042358,5,0,0,0,0,LINESTRING(139.9295801 37.5178507,139.9291175 37.5178444,139.9271151 37.517848)
7,2359783780,256825041,74.7284927368,5,0,0,0,0,LINESTRING(139.9271151 37.517848,139.9262678 37.5178495)
8,256825041,2087967985,85.6299514771,5,0,0,0,0,LINESTRING(139.9262678 37.5178495,139.9252969 37.5178526)
9,2087967985,264932320,586.280700684,5,0,0,0,0,LINESTRING(139.9252969 37.5178526,139.9237879 37.5178561,139.9230928 37.5178546,139.9211302 37.5178523,139.9197519 37.5178458,139.9188272 37.5178604,139.9187368 37.5178572,139.9186498 37.5178541)
10,256836193,263997872,406.360473633,6,0,0,0,0,LINESTRING(139.9224505 37.5259263,139.9232859 37.5258271,139.9247993 37.5257279,139.9259402 37.5257074,139.927043 37.5257387)
11,305898548,272630212,29.9464817047,1,1,2,2,1,LINESTRING(139.9417372 37.5187402,139.9416361 37.5184831)
12,272630212,272630213,31.4397850037,1,1,2,2,1,LINESTRING(139.9416361 37.5184831,139.9415315 37.5182128)
13,272630213,272630214,41.5358772278,1,1,2,2,1,LINESTRING(139.9415315 37.5182128,139.9414652 37.5180122,139.9414323 37.5178481)
14,272630214,1840712745,79.3737945557,1,1,2,2,1,LINESTRING(139.9414323 37.5178481,139.9414207 37.5177693,139.9414186 37.5176713,139.9414701 37.5174603,139.9414645 37.5172467,139.9414434 37.5171401)
15,1840712745,272630219,8.79277515411,1,1,2,2,1,LINESTRING(139.9414434 37.5171401,139.941427 37.5171097,139.9413838 37.517079)
16,566985888,272629911,84.2897644043,1,1,2,2,1,LINESTRING(139.931797 37.5086026,139.9326891 37.5083309)
17,272629911,563397437,59.0444908142,1,1,2,2,1,LINESTRING(139.9326891 37.5083309,139.9332981 37.5081105)
18,563397437,558688697,76.0377807617,1,1,2,2,1,LINESTRING(139.9332981 37.5081105,139.9340943 37.5078484)
19,558688697,2089359977,87.2003326416,1,1,2,2,1,LINESTRING(139.9340943 37.5078484,139.934714 37.5075118,139.9348535 37.5074255,139.9348809 37.5073826)
20,2089359977,2484576260,99.3886871338,1,1,2,2,1,LINESTRING(139.9348809 37.5073826,139.9349621 37.5064911)
21,2484576260,563397420,7.05082368851,1,1,2,2,1,LINESTRING(139.9349621 37.5064911,139.9349442 37.5064293)
22,272631177,1999740382,4.86213350296,2,2,2,2,1,LINESTRING(139.9340645 37.5217129,139.9341195 37.5217099)
23,1999740382,1921430138,105.4556427,2,2,2,2,1,LINESTRING(139.9341195 37.5217099,139.9353123 37.5216432)
24,1921430138,1921430132,64.5275192261,2,2,2,2,1,LINESTRING(139.9353123 37.5216432,139.9360419 37.5215995)
25,1921430132,1921430133,1.50705111027,2,2,2,2,1,LINESTRING(139.9360419 37.5215995,139.936059 37.5215997)
26,1979236214,2312610616,35.7098083496,1,1,2,2,1,LINESTRING(139.9351152 37.5151294,139.9347114 37.5151528)
27,2312610616,2089360212,29.2718029022,1,1,2,2,1,LINESTRING(139.9347114 37.5151528,139.9343804 37.515172)
28,2089360212,2312609884,78.7278442383,1,1,2,2,1,LINESTRING(139.9343804 37.515172,139.9339876 37.5151897,139.9339421 37.5147954)
29,2312609884,417272742,219.04486084,1,1,2,2,1,LINESTRING(139.9339421 37.5147954,139.9339304 37.5147141,139.9338276 37.5143511,139.9330617 37.5144174,139.9324232 37.5144352,139.931964 37.514596)
30,567742068,1986474972,135.882324219,2,2,2,2,1,LINESTRING(139.9374738 37.5059201,139.9374866 37.5059873,139.9374822 37.5060511,139.9374085 37.5071397)
31,1986474972,1996639256,154.036956787,2,2,2,2,1,LINESTRING(139.9374085 37.5071397,139.9372829 37.5085214)
32,1996639256,2089360069,77.1512680054,2,2,2,2,1,LINESTRING(139.9372829 37.5085214,139.9372159 37.5092132)
33,2089360069,2089360090,89.8921966553,2,2,2,2,1,LINESTRING(139.9372159 37.5092132,139.9371457 37.5100197)
34,2089360090,2314271433,26.1125564575,2,2,2,2,1,LINESTRING(139.9371457 37.5100197,139.9371257 37.510254)
35,2314271433,2314272136,94.1244125366,2,2,2,2,1,LINESTRING(139.9371257 37.510254,139.9370626 37.511099)
36,2314272136,2312605740,91.7134552002,2,2,2,2,1,LINESTRING(139.9370626 37.511099,139.9370579 37.5111569,139.9369834 37.5119214)
37,2312605740,2314273301,63.4426689148,2,2,2,2,1,LINESTRING(139.9369834 37.5119214,139.9369686 37.5121787,139.9369373 37.5124907)
38,2314273301,567768328,60.8934288025,2,2,2,2,1,LINESTRING(139.9369373 37.5124907,139.9368825 37.5130366)
39,567768328,2089360179,47.1542778015,2,2,2,2,1,LINESTRING(139.9368825 37.5130366,139.9368285 37.5134585)
40,2089360179,2312607342,51.1688041687,2,2,2,2,1,LINESTRING(139.9368285 37.5134585,139.9367928 37.5139178)
41,2312607342,287192766,46.7010269165,2,2,2,2,1,LINESTRING(139.9367928 37.5139178,139.9367603 37.514337)
42,287192766,2312609714,38.5730667114,2,2,2,2,1,LINESTRING(139.9367603 37.514337,139.9367171 37.5146822)
43,2312609714,2312610491,42.1764945984,2,2,2,2,1,LINESTRING(139.9367171 37.5146822,139.9367015 37.5150613)
44,2312610491,1979236220,51.615562439,2,2,2,2,1,LINESTRING(139.9367015 37.5150613,139.9366775 37.5155251)
45,1979236220,2312611447,33.7366447449,2,2,2,2,1,LINESTRING(139.9366775 37.5155251,139.9366636 37.5158283)
46,2312611447,2089360223,31.2023887634,2,2,2,2,1,LINESTRING(139.9366636 37.5158283,139.9366802 37.5161086)
47,2089360223,1979236237,32.3061904907,2,2,2,2,1,LINESTRING(139.9366802 37.5161086,139.936686 37.5163991)
48,1979236237,1979236252,63.1401824951,2,2,2,2,1,LINESTRING(139.936686 37.5163991,139.9367065 37.5169667)
49,1979236252,2312615199,39.314907074,2,2,2,2,1,LINESTRING(139.9367065 37.5169667,139.9367238 37.51732)
50,2312615199,305898189,38.9306488037,2,2,2,2,1,LINESTRING(139.9367238 37.51732,139.9367424 37.5176698)
51,305898189,305898209,11.2023649216,2,2,2,2,1,LINESTRING(139.9367424 37.5176698,139.9367462 37.5177705)
52,567769996,2325087871,64.7717590332,2,2,2,2,1,LINESTRING(139.9284473 37.5078686,139.9284438 37.5084511)
53,2325087871,1738735511,80.6839981079,2,2,2,2,1,LINESTRING(139.9284438 37.5084511,139.9284395 37.5091767)
54,1738735511,2325087909,42.7912902832,2,2,2,2,1,LINESTRING(139.9284395 37.5091767,139.9284334 37.5095615)
55,2325087909,2325087927,38.243019104,2,2,2,2,1,LINESTRING(139.9284334 37.5095615,139.9284279 37.5099054)
56,2325087927,2325087933,8.56261634827,2,2,2,2,1,LINESTRING(139.9284279 37.5099054,139.9284267 37.5099824)
57,2325087933,2325087940,18.6489276886,2,2,2,2,1,LINESTRING(139.9284267 37.5099824,139.928424 37.5101501)
58,2325087940,2325087947,41.8015098572,2,2,2,2,1,LINESTRING(139.928424 37.5101501,139.928418 37.510526)
59,2325087947,2325087957,17.540435791,2,2,2,2,1,LINESTRING(139.928418 37.510526,139.9284132 37.5106837)
60,2325087957,2325087962,26.5869693756,2,2,2,2,1,LINESTRING(139.9284132 37.5106837,139.9284117 37.5109228)
61,2325087962,2325087966,18.5818710327,2,2,2,2,1,LINESTRING(139.9284117 37.5109228,139.9284091 37.5110899)
62,2325087966,2325087973,14.1787700653,2,2,2,2,1,LINESTRING(139.9284091 37.5110899,139.928407 37.5112174)
63,2325087973,2325087988,50.46326828,2,2,2,2,1,LINESTRING(139.928407 37.5112174,139.9284132 37.5116712)
64,2325087988,2325088007,60.2234077454,2,2,2,2,1,LINESTRING(139.9284132 37.5116712,139.9284112 37.5122128)
65,2325088007,2325088015,50.3001213074,2,2,2,2,1,LINESTRING(139.9284112 37.5122128,139.928402 37.5126651)
66,2325088015,2359711233,24.1230945587,2,2,2,2,1,LINESTRING(139.928402 37.5126651,139.9283965 37.512882)
67,2359711233,2325088022,7.61852073669,2,2,2,2,1,LINESTRING(139.9283965 37.512882,139.9283947 37.5129505)
68,2325088022,2325088041,35.0605697632,2,2,2,2,1,LINESTRING(139.9283947 37.5129505,139.9283745 37.5132654)
69,2325088041,2325088269,68.3076477051,2,2,2,2,1,LINESTRING(139.9283745 37.5132654,139.9283888 37.5138796)
70,2325088269,560275300,27.7925415039,2,2,2,2,1,LINESTRING(139.9283888 37.5138796,139.9283947 37.5141295)
71,560275300,2325088347,61.1005821228,2,2,2,2,1,LINESTRING(139.9283947 37.5141295,139.9281071 37.5146294)
72,2325088347,2325088454,80.1463699341,2,2,2,2,1,LINESTRING(139.9281071 37.5146294,139.9279975 37.51482,139.9277334 37.5152864)
73,2325088454,583541245,3.15722322464,2,2,2,2,1,LINESTRING(139.9277334 37.5152864,139.9277187 37.5153123)
74,583541245,2325088479,16.6759471893,2,2,2,2,1,LINESTRING(139.9277187 37.5153123,139.9276374 37.5154477)
75,2325088479,2359711251,26.7100753784,2,2,2,2,1,LINESTRING(139.9276374 37.5154477,139.927507 37.5156645)
76,2359711251,287195591,20.8805866241,2,2,2,2,1,LINESTRING(139.927507 37.5156645,139.9274051 37.515834)
77,287195591,583541236,103.189125061,2,2,2,2,1,LINESTRING(139.9274051 37.515834,139.9269353 37.5166839)
78,583541236,287195540,23.6447982788,2,2,2,2,1,LINESTRING(139.9269353 37.5166839,139.9268214 37.5168764)
79,287195540,566167579,20.2899627686,2,2,2,2,1,LINESTRING(139.9268214 37.5168764,139.9267221 37.517041)
80,566167579,256825041,98.4256973267,2,2,2,2,1,LINESTRING(139.9267221 37.517041,139.9262678 37.5178495)
81,256825041,256825382,12.0564088821,2,2,2,2,1,LINESTRING(139.9262678 37.5178495,139.9262104 37.5179479)
82,256825382,2087968003,127.003067017,2,2,2,2,1,LINESTRING(139.9262104 37.5179479,139.9256104 37.5189862)
83,2087968003,417273101,8.31375217438,2,2,2,2,1,LINESTRING(139.9256104 37.5189862,139.9255623 37.5190505)
84,417273101,2087968027,121.740814209,2,2,2,2,1,LINESTRING(139.9255623 37.5190505,139.9249522 37.5200326)
85,2087968027,2087968038,108.689430237,2,2,2,2,1,LINESTRING(139.9249522 37.5200326,139.9244418 37.5209223)
86,2087968038,592267212,57.9011154175,2,2,2,2,1,LINESTRING(139.9244418 37.5209223,139.9241214 37.5213768)
87,592267212,2087968046,23.7231903076,2,2,2,2,1,LINESTRING(139.9241214 37.5213768,139.9240081 37.5215703)
88,2087968046,2087911905,86.3625335693,2,2,2,2,1,LINESTRING(139.9240081 37.5215703,139.9235525 37.5222578)
89,2087911905,2087968074,91.3091049194,2,2,2,2,1,LINESTRING(139.9235525 37.5222578,139.9231029 37.5229975)
90,2087968074,2087968101,129.587158203,2,2,2,2,1,LINESTRING(139.9231029 37.5229975,139.9226592 37.5236537,139.9224408 37.5240372)
91,2087968101,2079555586,200.866088867,2,2,2,2,1,LINESTRING(139.9224408 37.5240372,139.9217646 37.5252334,139.9215201 37.5256894)
92,2079555586,592267188,101.287284851,2,2,2,2,1,LINESTRING(139.9215201 37.5256894,139.9210444 37.5265185)
93,567738073,558688697,54.1783676147,1,1,2,2,1,LINESTRING(139.9344369 37.5082528,139.9340943 37.5078484)
94,558688697,558688675,80.2289810181,1,1,2,2,1,LINESTRING(139.9340943 37.5078484,139.9340779 37.507127)
